snpp,snf3JLX29OeF6,C Burns,Springfield Nuclear Power Plant,100 Industrial Way,Springfield,Ohio,12326a,123456789,cmburns@snpp.org,United States,Driver,AA12345678,AB123456C,12ABC123
test,teobtLiiDGEOk,a,b,123 Fake Street,Nottingham,Nottingham,NG125FA,test@test.org,123,United Kingdom,TransportationCompany
adambloggs@gmail.com,advwtv/9yU5yQ,Adam,Bloggs,123 Fake Street,Nottingham,Nottingham,NG125AA,123,adambloggs@gmail.com,United Kingdom,Cargo Owner
haha@haha,harCEtf8t.cX.,a,b,c,d,e,g,123,haha@haha,f,Cargo Owner
adambloggs,Test,abbbbbbbbbbbbbbbb,Booo,Testing,456 nowhere street,Derby,Derby,DE123XY,123456789,nowhere@nowhere.com,United Kingdom,Driver,FE1237636,ABC123456C,45DEF456,45DEF456,45DEF456,45DEF456,45DEF456,45DEF456
5c8df5f6-a5fa-4d14-9189-1179f2625fe2,5cABS/.XryhAk,Test,User,123 Fake Street,Nottingham,Nottingham,NG123ABC,1234,5c8df5f6-a5fa-4d14-9189-1179f2625fe2,United Kingdom,Driver
e8ffc8fc-a58a-4c85-a189-7e12717c1339,e8KEJPpCeOYuU,Test,User,123 Fake Street,Nottingham,Nottingham,NG123ABC,1234,e8ffc8fc-a58a-4c85-a189-7e12717c1339,United Kingdom,Driver
f6f53d0e-ee7f-4304-8617-a1737863a24f,f6c2ywaUipPgY,Test,User,123 Fake Street,Nottingham,Nottingham,NG123ABC,1234,f6f53d0e-ee7f-4304-8617-a1737863a24f,United Kingdom,Driver
3075205a-1a74-4cf9-b161-6825a537da30,30dJVEURUeYJc,Test,User,123 Fake Street,Nottingham,Nottingham,NG123ABC,1234,3075205a-1a74-4cf9-b161-6825a537da30,United Kingdom,Driver
3dce8b30-24c7-46d7-b583-f6cf973eac85,3d.3IJOVBaz6g,Test,User,123 Fake Street,Nottingham,Nottingham,NG123ABC,1234,3dce8b30-24c7-46d7-b583-f6cf973eac85,United Kingdom,Driver
test@test.com,teobtLiiDGEOk,Test,User,123 Fake Street,Nottingham,Nottingham,NG123ABC,1234,test@test.com,United Kingdom,Cargo Owner
185e9a50-4dfa-4e3a-8052-9163b2fd9bb1,18cTuMgi.ymhk,Test,User,123 Fake Street,Nottingham,Nottingham,NG123ABC,1234,185e9a50-4dfa-4e3a-8052-9163b2fd9bb1,United Kingdom,Driver,,
71a9548c-8ce1-4151-b1b2-bc803f81426f,71wYhs3y.tvIc,,123 Fake Street,Nottingham,NG123ABC,1234,71a9548c-8ce1-4151-b1b2-bc803f81426f,United Kingdom,TransportationCompany
